Station Code,Station Name,Interchanges/Connections,District/City,State/Territory,Latitude,Longitude
MR1,KL Sentral,1 Batu Caves-Pulau Sebang Line 2 Tanjung Malim-Port Klang Line 5 Kelana Jaya Line 6 KLIA Ekspres 7 KLIA Transit 9 Kajang Line (Muzium Negara) 10 KL Sentral-Terminal Skypark Line  KTM ETS,Kuala Lumpur,Federal Territories,3.1326637,101.68795
MR2,Tun Sambanthan,,Kuala Lumpur,Federal Territories,3.1314212,101.6907739
MR3,Maharajalela,,Kuala Lumpur,Federal Territories,3.1389355,101.6992239
MR4,BBCC–Hang Tuah,3 Ampang Line 4 Sri Petaling Line,Kuala Lumpur,Federal Territories,3.14072,101.70608
MR5,Imbi,,Kuala Lumpur,Federal Territories,3.142779,101.7094092
MR6,Bukit Bintang,9 Kajang Line,Kuala Lumpur,Federal Territories,3.1460225,101.7114998
MR7,Raja Chulan,,Kuala Lumpur,Federal Territories,3.1508783,101.7104323
MR8,Bukit Nanas,5 Kelana Jaya Line (Dang Wangi),Kuala Lumpur,Federal Territories,3.15,101.7
MR9,Medan Tuanku,(Sultan Ismail)  3 Ampang Line 4 Sri Petaling Line,Kuala Lumpur,Federal Territories,3.159106,101.6979289
MR10,Chow Kit,,Kuala Lumpur,Federal Territories,3.1673575,101.6983789
MR11,Titiwangsa,3 Ampang Line 4 Sri Petaling Line 12 Putrajaya Line13 Circle Line',Kuala Lumpur,Federal Territories,3.173192,101.6960217
