Station Code,Station Name,Interchanges/Connections,District/City,State/Territory,Latitude,Longitude
AG1,Sentul Timur,4 Sri Petaling Line,Kuala Lumpur,Federal Territories,3.1784675,101.6955325
AG2,Sentul,4 Sri Petaling Line,Kuala Lumpur,Federal Territories,3.1784675,101.6955325
AG3,Titiwangsa,4 Sri Petaling Line 8 KL Monorail 12 Putrajaya Line13 Circle Line',Kuala Lumpur,Federal Territories,3.1735079,101.6953101
AG4,PWTC,4 Sri Petaling Line  (Putra) 1 Batu Caves-Pulau Sebang Line 2 Tanjung Malim-Port Klang Line,Kuala Lumpur,Federal Territories,3.166625,101.693653
AG5,Sultan Ismail,4 Sri Petaling Line  8 KL Monorail (Medan Tuanku),Kuala Lumpur,Federal Territories,3.1612532,101.6941093
AG6,Bandaraya,4 Sri Petaling Line  (Bank Negara) 1 Batu Caves-Pulau Sebang Line 2 Tanjung Malim-Port Klang Line,Kuala Lumpur,Federal Territories,3.1555582,101.6944651
AG7,Masjid Jamek,4 Sri Petaling Line 5 Kelana Jaya Line,Kuala Lumpur,Federal Territories,3.1491927,101.6963775
AG8,Plaza Rakyat,4 Sri Petaling Line 9 Kajang Line (Merdeka),Kuala Lumpur,Federal Territories,3.1440528,101.7021593
AG9,BBCCâ Hang Tuah,4 Sri Petaling Line 8 KL Monorail,Kuala Lumpur,Federal Territories,3.139776,101.706271
AG10,Pudu,4 Sri Petaling Line,Kuala Lumpur,Federal Territories,3.1348902,101.7119668
AG11,Chan Sow Lin,4 Sri Petaling Line 12 Putrajaya Line,Kuala Lumpur,Federal Territories,3.1281047,101.7156366
AG12,Miharja,,Kuala Lumpur,Federal Territories,3.1209905,101.7178829
AG13,Maluri,9 Kajang Line,Kuala Lumpur,Federal Territories,3.1233637,101.7271433
AG14,Pandan Jaya,,Ampang,Selangor,3.1301345,101.7390017
AG15,Pandan Indah,13 Circle Line',Ampang,Selangor,3.1347236,101.7467338
AG16,Cempaka,,Ampang,Selangor,3.1384783,101.7530529
AG17,Cahaya,,Ampang,Selangor,3.1405898,101.7566128
AG18,Ampang,,Ampang,Selangor,3.1503502,101.7601284
