Station Code,Station Name,Interchanges/Connections,District/City,State/Territory,Latitude,Longitude
KJ1,Gombak,ECR East Coast Rail Link (ECR)  Eastern Integrated Terminal (TBT),Gombak,Selangor,3.2310537,101.7242156
KJ2,Taman Melati,,Kuala Lumpur,Federal Territories,3.221806,101.725659
KJ3,Wangsa Maju,,Kuala Lumpur,Federal Territories,3.2057122,101.7319628
KJ4,Sri Rampai,,Kuala Lumpur,Federal Territories,3.1965699,101.7338759
KJ5,Setiawangsa,13 Circle Line',Ampang,Selangor,3.1757351,101.735878
KJ6,Jelatek,,Ampang,Selangor,3.1672037,101.7353441
KJ7,Dato' Keramat,,Kuala Lumpur,Federal Territories,3.1649732,101.7320073
KJ8,Damai,,Kuala Lumpur,Federal Territories,3.1644056,101.7244889
KJ9,Ampang Park,12 Putrajaya Line,Kuala Lumpur,Federal Territories,3.159847,101.7191
KJ10,KLCC,,Kuala Lumpur,Federal Territories,3.1589645,101.7141691
KJ11,Kampung Baru,,Kuala Lumpur,Federal Territories,3.16139,101.70661
KJ12,Dang Wangi,8 KL Monorail (Bukit Nanas),Kuala Lumpur,Federal Territories,3.156386,101.702273
KJ13,Masjid Jamek,3 Ampang Line 4 Sri Petaling Line,Kuala Lumpur,Federal Territories,3.1491927,101.6963775
KJ14,Pasar Seni,9 Kajang Line  (Kuala Lumpur) 1 Batu Caves-Pulau Sebang Line 2 Tanjung Malim-Port Klang Line  KTM ETS,Kuala Lumpur,Federal Territories,3.1424391,101.6953101
KJ15,KL Sentralâ redONE,1 Batu Caves-Pulau Sebang Line 2 Tanjung Malim-Port Klang Line 6 KLIA Ekspres 7 KLIA Transit 8 KL Monorail[Note 1] 9 Kajang Line (Muzium Negara) 10 KL Sentral-Terminal Skypark Line  KTM ETS,Kuala Lumpur,Federal Territories,3.13417,101.68611
KJ16,Bank Rakyatâ Bangsar,,Kuala Lumpur,Federal Territories,3.1276507,101.679149
KJ17,Abdullah Hukum,2 Tanjung Malim-Port Klang Line 1 Batu Caves-Pulau Sebang Line (Mid Valley)[Note 2],Kuala Lumpur,Federal Territories,3.1188241,101.6729044
KJ18,Kerinchi,,Kuala Lumpur,Federal Territories,3.1155146,101.6684293
KJ19,Universiti,13 Circle Line',Kuala Lumpur,Federal Territories,3.1146872,101.6616935
KJ20,Taman Jaya,,Petaling Jaya,Selangor,3.106771,101.6537512
KJ21,Asia Jaya,,Petaling Jaya,Selangor,3.1043518,101.6376883
KJ22,Taman Paramount,,Petaling Jaya,Selangor,3.1047784,101.6232419
KJ23,Taman Bahagia,,Petaling Jaya,Selangor,3.110799,101.612787
KJ24,Kelana Jaya,,Petaling Jaya,Selangor,3.1125978,101.6044903
KJ25,Lembah Subang,,Petaling Jaya,Selangor,3.0567333,101.5851192
KJ26,Ara Damansara,,Petaling Jaya,Selangor,3.1244431,101.583075
KJ27,CGC-Glenmarie,11 Shah Alam Line',Shah Alam,Selangor,3.095934,101.590314
KJ28,Subang Jaya,2 Tanjung Malim-Port Klang Line 10 KL Sentral-Terminal Skypark Line,Subang Jaya,Selangor,3.0567333,101.5851192
KJ29,SS15,,Subang Jaya,Selangor,3.075972,101.585983
KJ30,SS18,,Subang Jaya,Selangor,3.067182,101.585945
KJ31,USJ 7,B1 BRT Sunway Line,Subang Jaya,Selangor,3.04837,101.5918718
KJ32,Taipan,,Subang Jaya,Selangor,3.0478541,101.5901209
KJ33,Wawasan,,Subang Jaya,Selangor,3.035062,101.588348
KJ34,USJ 21,,Subang Jaya,Selangor,3.025988,101.5816259
KJ35,Alam Megah,,Shah Alam,Selangor,3.0096994,101.572139
KJ36,Subang Alam,,Shah Alam,Selangor,3.013579,101.5703669
KJ37,Putra Heights,4 Sri Petaling Line,Subang Jaya,Selangor,2.996058,101.575629
