Station Code,Station Name,Interchanges/Connections,District/City,State/Territory,Latitude,Longitude
SP1,Sentul Timur,3 Ampang Line,Kuala Lumpur,Federal Territories,3.1784675,101.6955325
SP2,Sentul,3 Ampang Line,Kuala Lumpur,Federal Territories,3.1784675,101.6955325
SP3,Titiwangsa,3 Ampang Line 8 KL Monorail 12 Putrajaya Line13 Circle Line,Kuala Lumpur,Federal Territories,3.1735079,101.6953101
SP4,PWTC,3 Ampang Line  (Putra) 1 Batu Caves-Pulau Sebang Line 2 Tanjung Malim-Port Klang Line,Kuala Lumpur,Federal Territories,3.166625,101.693653
SP5,Sultan Ismail,3 Ampang Line  8 KL Monorail (Medan Tuanku),Kuala Lumpur,Federal Territories,3.1612532,101.6941093
SP6,Bandaraya,3 Ampang Line  (Bank Negara) 1 Batu Caves-Pulau Sebang Line 2 Tanjung Malim-Port Klang Line,Kuala Lumpur,Federal Territories,3.1555582,101.6944651
SP7,Masjid Jamek,3 Ampang Line 5 Kelana Jaya Line,Kuala Lumpur,Federal Territories,3.1491927,101.6963775
SP8,Plaza Rakyat,3 Ampang Line 9 Kajang Line (Merdeka),Kuala Lumpur,Federal Territories,3.1440528,101.7021593
SP9,BBCCâ Hang Tuah,3 Ampang Line 8 KL Monorail,Kuala Lumpur,Federal Territories,3.139776,101.706271
SP10,Pudu,3 Ampang Line,Kuala Lumpur,Federal Territories,3.1348902,101.7119668
SP11,Chan Sow Lin,3 Ampang Line 12 Putrajaya Line,Kuala Lumpur,Federal Territories,3.1281047,101.7156366
SP12,Cheras,,Kuala Lumpur,Federal Territories,3.1125996,101.7142131
SP13,Salak Selatan,13 Circle Line',Kuala Lumpur,Federal Territories,3.1020978,101.7063461
SP14,Bandar Tun Razak,,Kuala Lumpur,Federal Territories,3.0895777,101.7124339
SP15,Bandar Tasik Selatan,1 Batu Caves-Pulau Sebang Line 7 KLIA Transit  KTM ETS  Southern Integrated Terminal (TBS),Kuala Lumpur,Federal Territories,3.0760769,101.7113663
SP16,Sungai Besi,12 Putrajaya Line,Kuala Lumpur,Federal Territories,3.057444,101.71787
SP17,Bukit Jalil,,Kuala Lumpur,Federal Territories,3.058748,101.691725
SP18,Sri Petaling,,Kuala Lumpur,Federal Territories,3.068411,101.6856335
SP19,Awan Besar,,Kuala Lumpur,Federal Territories,3.062205,101.670737
SP20,Muhibbah,,Kuala Lumpur,Federal Territories,3.0619788,101.6624709
SP21,Alam Sutera,,Kuala Lumpur,Federal Territories,3.0548,101.656611
SP22,Kinrara BK5,,Subang Jaya,Selangor,3.0504458,101.6442793
SP24,IOI Puchong Jaya,,Subang Jaya,Selangor,3.0480756,101.6209657
SP25,Pusat Bandar Puchong,,Subang Jaya,Selangor,3.033339,101.6160699
SP26,Taman Perindustrian Puchong,,Subang Jaya,Selangor,3.022844,101.6134397
SP27,Bandar Puteri,,Subang Jaya,Selangor,3.0175262,101.6247034
SP28,Puchong Perdana,,Subang Jaya,Selangor,2.9986192,101.622015
SP29,Puchong Prima,,Subang Jaya,Selangor,3.033339,101.6160699
SP31,Putra Heights,5 Kelana Jaya Line,Subang Jaya,Selangor,2.996058,101.575629
