Code,Station Name,Interchanges/Connections,District/City,State/Territory,Latitude,Longitude
KG04,Kwasa Damansara,12 Putrajaya Line  Northern Integrated Terminal (TBU),Shah Alam,Selangor,3.1766451,101.5726423
KG05,Kwasa Sentral,,Shah Alam,Selangor,3.1699762,101.5648071
KG06,Kota Damansara,,Petaling Jaya,Selangor,3.15007,101.5792289
KG07,Surian,,Petaling Jaya,Selangor,3.1494854,101.593917
KG08,Mutiara Damansara,,Petaling Jaya,Selangor,3.160611,101.6121892
KG09,Bandar Utama,11 Shah Alam Line',Petaling Jaya,Selangor,3.1467185,101.6119073
KG10,Taman Tun Dr Ismail–Deloitte (TTDI),,Kuala Lumpur,Federal Territories,3.1378381,101.6295545
KG12,Phileo Damansara,,Kuala Lumpur,Federal Territories,3.129152,101.64307
KG13,Pavilion Damansara Heights–Pusat Bandar Damansara,,Kuala Lumpur,Federal Territories,3.1468172,101.6632101
KG14,Semantan,,Kuala Lumpur,Federal Territories,3.1509924,101.6652674
KG15,Muzium Negara,(KL Sentral) 1 Batu Caves-Pulau Sebang Line 2 Tanjung Malim-Port Klang Line 5 Kelana Jaya Line 6 KLIA Ekspres 7 KLIA Transit 8 KL Monorail[Note 1] 10 KL Sentral-Terminal Skypark Line  KTM ETS,Kuala Lumpur,Federal Territories,3.137711,101.6874214
KG16,Pasar Seni,5 Kelana Jaya Line  (Kuala Lumpur) 1 Batu Caves-Pulau Sebang Line 2 Tanjung Malim-Port Klang Line  KTM ETS,Kuala Lumpur,Federal Territories,3.142691,101.695407
KG17,Merdeka,(Plaza Rakyat)  3 Ampang Line 4 Sri Petaling Line,Kuala Lumpur,Federal Territories,3.1424803,101.7021426
KG18A,Pavilion Kuala Lumpur–Bukit Bintang,8 KL Monorail,Kuala Lumpur,Federal Territories,3.1472072,101.7119959
KG20,Tun Razak Exchange–Samsung Galaxy (TRX),12 Putrajaya Line,Kuala Lumpur,Federal Territories,3.1424073,101.7168132
KG21,Cochrane,,Kuala Lumpur,Federal Territories,3.1329275,101.7229006
KG22,AEON–Maluri,3 Ampang Line,Kuala Lumpur,Federal Territories,3.13422,101.7277009
KG23,Taman Pertama,,Kuala Lumpur,Federal Territories,3.111893,101.7308711
KG24,Taman Midah,13 Circle Line',Kuala Lumpur,Federal Territories,3.1052199,101.731763
KG25,Taman Mutiara,,Kuala Lumpur,Federal Territories,3.09175,101.74047
KG26,Taman Connaught,,Kuala Lumpur,Federal Territories,3.081594,101.736068
KG27,Taman Suntex,,Hulu Langat,Selangor,3.074683,101.768661
KG28,Sri Raya,,Hulu Langat,Selangor,3.0621657,101.7728856
KG29,Bandar Tun Hussein Onn,,Hulu Langat,Selangor,3.054445,101.7592808
KG30,Batu 11 Cheras,,Hulu Langat,Selangor,3.0411998,101.7729734
KG31,Bukit Dukung,,Hulu Langat,Selangor,3.026766,101.770899
KG33,Sungai Jernih,,Hulu Langat,Selangor,3.000699,101.783584
KG34,Stadium Kajang,,Hulu Langat,Selangor,2.9933226,101.7877607
KG35,Kajang,1 Batu Caves-Pulau Sebang Line  KTM ETS,Hulu Langat,Selangor,2.9830073,101.7902261
