Code,Station Name,Interchanges/Connections,District/City,State/Territory,Latitude,Longitude
PY01,Kwasa Damansara,9 Kajang Line  Northern Integrated Terminal (TBU),Shah Alam,Selangor,3.1766451,101.5726423
PY03,Kampung Selamat,,Petaling Jaya,Selangor,3.1972781,101.5784398
PY04,Sungai Buloh,2 Tanjung Malim-Port Klang Line  KTM ETS,Petaling Jaya,Selangor,3.20933,101.5613392
PY05,Damansara Damai,,Petaling Jaya,Selangor,3.192995,101.5923431
PY06,Sri Damansara Barat,,Petaling Jaya,Selangor,3.1925945,101.6104999
PY07,Sri Damansara Sentral,,Petaling Jaya,Selangor,3.1986792,101.621041
PY08,Sri Damansara Timur,(Kepong Sentral) 2 Tanjung Malim-Port Klang Line  KTM ETS,Petaling Jaya,Selangor,3.2077561,101.6286847
PY09,Metro Prima,,Kuala Lumpur,Federal Territories,3.214545,101.640062
PY10,Kepong Baru,,Kuala Lumpur,Federal Territories,3.2074736,101.6428
PY11,Jinjang,,Kuala Lumpur,Federal Territories,3.20954,101.65583
PY12,Sri Delima,,Kuala Lumpur,Federal Territories,3.20711,101.66575
PY13,Kampung Batu,1 Batu Caves-Pulau Sebang Line,Kuala Lumpur,Federal Territories,3.20482,101.6756
PY14,Kentonmen,,Kuala Lumpur,Federal Territories,3.19825,101.68116
PY15,Jalan Ipoh,,Kuala Lumpur,Federal Territories,3.18943,101.68112
PY16,Sentul Barat,,Kuala Lumpur,Federal Territories,3.17924,101.68463
PY17,Titiwangsa,3 Ampang Line 4 Sri Petaling Line 8 KL Monorail13 Circle Line',Kuala Lumpur,Federal Territories,3.1735082,101.6953433
PY18,Hospital Kuala Lumpur,,Kuala Lumpur,Federal Territories,3.1319197,101.6840589
PY19,Raja Uda–UTM,,Kuala Lumpur,Federal Territories,3.16764,101.710182
PY20,Ampang Park,5 Kelana Jaya Line,Kuala Lumpur,Federal Territories,3.162299851,101.7186051
PY21,Persiaran KLCC,,Kuala Lumpur,Federal Territories,3.157412,101.71838
PY22,Conlay–Kompleks Kraf,,Kuala Lumpur,Federal Territories,3.15124,101.71808
PY23,Tun Razak Exchange–Samsung Galaxy (TRX),9 Kajang Line,Kuala Lumpur,Federal Territories,3.1424073,101.7168132
PY24,Chan Sow Lin,3 Ampang Line 4 Sri Petaling Line,Kuala Lumpur,Federal Territories,3.1278462,101.7155894
PY27,Kuchai,13 Circle Line',Kuala Lumpur,Federal Territories,3.089311,101.694059
PY28,Taman Naga Emas,,Kuala Lumpur,Federal Territories,3.07769,101.69987
PY29,Sungai Besi,4 Sri Petaling Line,Kuala Lumpur,Federal Territories,3.057444,101.71787
PY31,Serdang Raya Utara,,Subang Jaya,Selangor,3.04167,101.70493
PY32,Serdang Raya Selatan,,Subang Jaya,Selangor,3.02846,101.70751
PY33,Serdang Jaya,,Subang Jaya,Selangor,3.02169,101.70904
PY34,UPM,,Subang Jaya,Selangor,3.00856,101.70639
PY36,Taman Equine,,Subang Jaya,Selangor,3.003022,101.679111
PY37,Putra Permai,,Subang Jaya,Selangor,2.986261,101.6656459
PY38,16 Sierra,,Sepang,Selangor,2.9694457,101.6539444
PY39,Cyberjaya Utara–Finexus,,Sepang,Selangor,2.921318,101.6559349
PY40,Cyberjaya City Centre–Limkokwing,,Sepang,Selangor,2.9399919,101.6628305
PY41,Putrajaya Sentral,7 KLIA Transit (Putrajaya & Cyberjaya) 14 Putrajaya Monorail,Putrajaya,Federal Territories,2.9315569,101.6705407
